id,ingredient,degree,sugar,base_spirit,glass_id,color_id,occasion_id
104,"얼음|480 ml,앱솔루트 맨드린|480 ml,파인애플 주스|480 ml,크랜베리 주스|480 ml,진저엘|1 슬라이스,레몬|1 슬라이스,라임",10,7,vodka,4,1,4
105,"얼음|480 ml,앱솔루트 바니리아|7 개,라즈베리|사이다|1 웨지,라임",38,0,vodka,4,2,22
106,"얼음|30 ml,앱솔루트 주스 스트로베리|30 ml,장미 스파클링 와인|30 ml,소다수|4 슬라이스,딸기",15,3,vodka,3,1,14
107,"얼음|30 ml,앱솔루트 보드카|480 ml,화이트 크랜베리 주스|20 ml,바이올렛 리큐어|7.5 ml,라임 주스",3,0,vodka,7,7,14
108,"얼음|30 ml,앱솔루트 그레이프프루트|22.5 ml,레몬 주스|15 ml,딱총나무 꽃 코디얼|10 ml,라이치 리큐어|7.5 ml,진저 시럽|1 개,자몽 껍질",20,8,vodka,7,3,14
109,"얼음|480 ml,앱솔루트 보드카|15 ml,화이트 크렘 드 망트",38,0,vodka,7,5,14
110,"얼음|330 ml,앱솔루트 어피치|150 ml,소다수|15 ml,라임 주스|1 슬라이스,복숭아",26,3,vodka,2,5,22
111,"얼음|22.5 ml,앱솔루트 보드카|소다수|2 슬라이스,라임",40,0,vodka,4,5,22
112,"얼음|30 ml,앱솔루트 보드카|20 ml,레몬 주스|10 ml,슈가시럽|10 ml,크렘 드 뮈르|2 개,블랙베리",17,7,vodka,2,1,14
113,"얼음|30 ml,앱솔루트 엘릭스|60 ml,차가운 장미차|15 ml,릴렛 블랑|15 ml,레몬 주스|15 ml,오렌지 블라썸 꿀|1 웨지,오렌지",9,8,vodka,4,3,15
114,"30 ml,앱솔루트 보드카|90 ml,스파클링 와인",18,11,vodka,7,5,22
115,"얼음|480 ml,앱솔루트 보드카|10 ml,블루 큐라소|10 ml,복숭아 슈납스",38,0,vodka,7,8,14
116,"얼음|480 ml,앱솔루트 그레이프프루트|480 ml,크랜베리 주스|1 웨지,오렌지",20,6,vodka,2,1,17
117,"얼음|480 ml,앱솔루트 체리|15 ml,라임 주스|7.5 ml,체리 리큐어|7.5 ml,복숭아 시럽|1 개,체리",38,1,vodka,7,7,13
118,"얼음|480 ml,앱솔루트 맨드린|15 ml,레몬 주스|15 ml,패션 프루트 시럽|15 ml,슈가시럽|1 웨지,오렌지",36,3,vodka,2,9,4
119,"얼음|480 ml,앱솔루트 망고|1.88 ml,앱솔루트 페퍼|22.5 ml,레몬 주스|22.5 ml,망고 퓌레|22.5 ml,슈가시럽|1 개,할라피뇨",33,2,vodka,7,3,14
